,Country_name,CPI_inflation_rate,Year
0,United States,1.23358439630637,2020
1,United States,1.81221007526015,2019
2,United States,2.44258329692818,2018
3,United States,2.13011000365963,2017
4,United States,1.26158320570537,2016
5,United States,0.118627135552435,2015
6,China,2.4194218945778,2020
7,China,2.89923416358227,2019
8,China,2.07479039965578,2018
9,China,1.59313600071434,2017
10,China,2.00000182191941,2016
11,China,1.43702380935655,2015
12,Germany,0.506689889953274,2020
13,Germany,1.4456670146976,2019
14,Germany,1.73216766075662,2018
15,Germany,1.50949655801608,2017
16,Germany,0.49174862477081,2016
17,Germany,0.51442053951781,2015
18,India,6.62343677628531,2020
19,India,3.72327648330532,2019
20,India,3.94506866416979,2018
21,India,3.32817337461301,2017
22,India,4.94821634062141,2016
23,India,4.90697344127253,2015
24,Japan,-0.0249958340276592,2020
25,Japan,0.468776159383912,2019
26,Japan,0.989094598021806,2018
27,Japan,0.484199796126387,2017
28,Japan,-0.127258844489691,2016
29,Japan,0.795279630579775,2015
30,Peru,1.82605269777589,2020
31,Peru,2.13715342569978,2019
32,Peru,1.31764765937395,2018
33,Peru,2.80283916977831,2017
34,Peru,3.59211324147449,2016
35,Peru,3.54928804947929,2015
36,Philippines,2.63522884882108,2020
37,Philippines,2.48027858716509,2019
38,Philippines,5.21160460595185,2018
39,Philippines,2.85318772590942,2017
40,Philippines,1.25369880080983,2016
41,Philippines,0.674192536845412,2015
42,Turkey,12.2789574462574,2020
43,Turkey,15.1768215720023,2019
44,Turkey,16.3324638988929,2018
45,Turkey,11.1443110840764,2017
46,Turkey,7.77513415328334,2016
47,Turkey,7.6708536484588,2015
48,Vietnam,3.22093436652514,2020
49,Vietnam,2.79582367452244,2019
50,Vietnam,3.53962805942641,2018
51,Vietnam,3.52025688811619,2017
52,Vietnam,2.66824816969083,2016
53,Vietnam,0.631200905175718,2015
54,Switzerland,-0.725874933313391,2020
55,Switzerland,0.362886179940635,2019
56,Switzerland,0.936335464113605,2018
57,Switzerland,0.533787839825886,2017
58,Switzerland,-0.434618664285843,2016
59,Switzerland,-1.14390867228178,2015
60,Nigeria,,2020
61,Nigeria,11.3967949687168,2019
62,Nigeria,12.0947315505318,2018
63,Nigeria,16.5235399802169,2017
64,Nigeria,15.6753405526234,2016
65,Nigeria,9.00938718326781,2015
