,Country_name,Unemployment_rate,Year
0,United States,8.31,2020
1,United States,3.67,2019
2,United States,3.9,2018
3,United States,4.36,2017
4,United States,4.87,2016
5,United States,5.28,2015
6,China,5.0,2020
7,China,4.6,2019
8,China,4.3,2018
9,China,4.4,2017
10,China,4.5,2016
11,China,4.6,2015
12,Germany,4.31,2020
13,Germany,3.14,2019
14,Germany,3.38,2018
15,Germany,3.75,2017
16,Germany,4.12,2016
17,Germany,4.62,2015
18,India,7.11,2020
19,India,5.27,2019
20,India,5.33,2018
21,India,5.41,2017
22,India,5.51,2016
23,India,5.56,2015
24,Japan,2.97,2020
25,Japan,2.4,2019
26,Japan,2.4,2018
27,Japan,2.8,2017
28,Japan,3.1,2016
29,Japan,3.4,2015
30,Peru,6.24,2020
31,Peru,3.03,2019
32,Peru,3.18,2018
33,Peru,3.35,2017
34,Peru,3.38,2016
35,Peru,2.92,2015
36,Philippines,3.36,2020
37,Philippines,2.24,2019
38,Philippines,2.34,2018
39,Philippines,2.55,2017
40,Philippines,2.69,2016
41,Philippines,3.07,2015
42,Turkey,13.92,2020
43,Turkey,13.67,2019
44,Turkey,10.89,2018
45,Turkey,10.82,2017
46,Turkey,10.84,2016
47,Turkey,10.24,2015
48,Vietnam,2.27,2020
49,Vietnam,2.04,2019
50,Vietnam,1.16,2018
51,Vietnam,1.87,2017
52,Vietnam,1.85,2016
53,Vietnam,1.85,2015
54,Switzerland,4.94,2020
55,Switzerland,4.39,2019
56,Switzerland,4.71,2018
57,Switzerland,4.8,2017
58,Switzerland,4.92,2016
59,Switzerland,4.8,2015
60,Nigeria,9.01,2020
61,Nigeria,8.53,2019
62,Nigeria,8.45,2018
63,Nigeria,8.39,2017
64,Nigeria,7.06,2016
65,Nigeria,4.31,2015
